Tên	Diện tích	Mặt tiền	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Nội thất	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
bán LK ST5 - Gamuda - đầy đủ nội thất, giá chỉ 16.9 tỷ	90 m2	5m	16,9 tỷ	_	4			Giấy tờ hợp lệ				Hoàng Mai	Hà Nội
XÃ ĐÀN LÔ GÓC 50M -5T-MT 6M  GIÁ NHỈNH 7 TỶ - 20M RA MẶT PHỐ - NHÀ ĐẸP, NỘI THẤT XỊN XÒ -	50 m2	---	7,2 tỷ	_	5			---				Đống Đa	Hà Nội
Cực Hiếm! CCMN phố Hoàng Cầu, 7 tầng Thang máy,10m ra phố, 60m2*14 phòng, Dòng tiền khủng	60 m2	---	11 tỷ	_	14			---				Đống Đa	Hà Nội
Bán nhà Ngõ 90 Nguyễn Tuân, ngõ KINH DOANH, ô tô tránh, 50m, M8m giá 6,6 tỷ	50 m2	6m	6,6 tỷ	_	3			Sổ hồng/ Sổ đỏ				Thanh Xuân	Hà Nội
MẶT PHỐ BA ĐÌNH-TRUNG TÂM PHỐ VIP- LÔ GÓC MT RỘNG KINH DOANH ĐA NGÀNH	46 m2	12m	21 tỷ	_	4			---				Ba Đình	Hà Nội
Bán nhà lô góc 7 tầng thang máy KĐT Him Lam- Hà Đông - Hà Nội 102m2 giá 31 tỷ	102 m2	8m	31 tỷ	_	6			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
LÔ ĐẤT CỰC ĐẸP MẶT PHỐ TÂY SƠN_GIÁ ĐẦU TƯ_2 THOÁNG	600 m2	14m	200 tỷ	_	9			---				Đống Đa	Hà Nội
PHẢI NHANH! CCMN NGUYỄN KHANG, 54M2, 6 TẦNG, THANG MÁY, 15 PHÒNG KHÉP KÍN, DT 900TR/NĂM	54 m2	---	10,8 tỷ	_	15			---				Cầu Giấy	Hà Nội
Bán nhà thô KĐT Văn Khê, Hà Đông, 83m2, mặt tiền 5m, giá 10 tỷ 100	83 m2	5m	10,1 tỷ	_	5			---				Hà Đông	Hà Nội
Bán Biệt thự An Hưng - KĐT Nam Cường, Hà Đông - Hà Nội 306m2 x 4 tầng x MT 12m giá 48 tỷ	306 m2	12m	48 tỷ	_	6			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
Bán nhà LK khu nhà ở 90 Nguyễn Tuân - Thanh Xuân -Hà Nội 28 tỷ	72 m2	5,5m	28 tỷ	_	6			Sổ hồng/ Sổ đỏ				Thanh Xuân	Hà Nội
BÁN ĐẤT GIANG BIÊN,LONG BIÊN 75M CHỈ 4.85 TỶ Ô TÔ VÀO	75 m2	4,1m	4,85 tỷ	_	---			---				Long Biên	Hà Nội
BÁN NHÀ ĐA SỸ HÀ ĐÔNG 55m2 , 5T , giá 9,8 tỷ MẶT PHỐ -KD - VỈA HÈ - NHÀ ĐẸP - ÔTÔ VÀO NHÀ	55 m2	4m	9,8 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
BÁN NHÀ ĐÀO TẤN LIỄU GIAI BA ĐÌNH 9 TỶ 50m MT 5m 4 TẦNG CÁCH PHỐ 20M KINH DOANH	50 m2	5m	9 tỷ	_	5			Sổ hồng/ Sổ đỏ				Ba Đình	Hà Nội
NHÀ ĐẸP PHẠM NGỌC THẠCH ĐỐNG ĐA LÔ GÓC-ÔTÔ TRÁNH 10M - DT 41M2 x 5T-GIÁ 5 TỶ 7	41 m2	5,2m	5,7 tỷ	_	3			---				Đống Đa	Hà Nội
BÁN NHÀ PHỐ NGỌC HÀ VỪA Ở VỪA CHO THUÊ - 54M2 – 3 TẦNG – 5.3 TỶ.	54 m2	---	5,3 tỷ	_	4			Sổ hồng/ Sổ đỏ				Ba Đình	Hà Nội
SIÊU PHẨM 5.6M MT MẶT PHỐ ĐÀO DUY TỪ_VỊ TRÍ ĐẮC ĐỊA_KINH DOANH NGÀY ĐÊM_CƠ HỘI DUY NHẤT	60 m2	5,60m	59,5 tỷ	_	5			Sổ hồng/ Sổ đỏ				Hoàn Kiếm	Hà Nội
BÁN NHÀ THƯỢNG THANH,LONG BIÊN 53M*5 TẦNG *3.5 TỶ DIỆN TÍCH RỘNG, GIÁ RẺ	53 m2	4,5m	3,5 tỷ	_	3			---				Long Biên	Hà Nội
Bán gấp nhà Mặt Phố Võ Thị Sáu, kinh doanh đỉnh cao, Dt 70m2, 6t, giá 28 tỷ.	70 m2	4,5m	28 tỷ	_	5			---				Hai Bà Trưng	Hà Nội
chủ bán căn liền kề góc đầu hồi Gamuda DT:239M2 3 Tầng, full nội thất  giá 27,5 tỷ	239 m2	15m	27,5 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
Bán nhà Mỹ Đình 54m2 xây mới 7 tầng lô góc 2 mặt ngõ ô tô 7 chỗ vào nhà	54 m2	---	10,8 tỷ	_	5			Sổ hồng/ Sổ đỏ				Nam Từ Liêm	Hà Nội
BÁN ĐẤT PHÚC LỢI, LONG BIÊN, 45M, MT 3.5M GIÁ 2.3 TỶ. GẦN VƯỜN HOA PHÚC LỢI	45 m2	3,5m	2,3 tỷ	_	---			---				Long Biên	Hà Nội
BÁN NHÀ LIỀN KỀ ĐÔ THỊ VĂN PHÚ HÀ ĐÔNG 50M2, MT 5M, 7 TẦNG, THANG MÁY FULL NỘI THẤT	50 m2	---	13,8 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
Chú tôi cần bán nhà mặt phố Khuất Duy Tiến, Nhân Chính Thanh Xuân 70m2, Căn Góc, 8 tầng th	70 m2	6,65m	42,9 tỷ	_	7			---				Thanh Xuân	Hà Nội
Bán Tòa Nhà Văn Phòng, Kim Giang, Thanh Xuân,Đường rộng vỉa hè kinh doanh tấp nập.	191 m2	10m	55 tỷ	Đông Bắc	9			Sổ hồng/ Sổ đỏ				Thanh Xuân	Hà Nội
Bán căn hộ tại CC B4 Kim Liên,155m2,4PN full nội thất,2 ban công thoáng, giá 7,8 tỷ	155 m2	---	7,8 tỷ	_	4			---				Đống Đa	Hà Nội
VŨ TRỌNG PHỤNG - 2 MẶT THOÁNG TRƯỚC SAU - NHIỀU PHÒNG - 80M MẶT PHỐ	40 m2	---	6,3 tỷ	_	6			Sổ hồng/ Sổ đỏ				Thanh Xuân	Hà Nội
Bán nhà Văn Quán 7 tầng thang máy 68m phân lô vỉa hè kinh doanh giá 11 tỷ 7	68 m2	4,5m	11,7 tỷ	_	5			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
Bán nhà phân lô KĐT Đại Kim,  Đường Nguyễn Cảnh Dị 55m2 giá 12 tỷ	55 m2	---	12 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
chủ bán nhà Nam Dư, Hoàng Mai, 33m, 4,5 tầng, oto nhỏ đỗ cửa, cách phố 50m, nhỉnh 3t	33 m2	4m	3,45 tỷ	_	3			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
chủ bán gấp nhà ngõ 43 Trung Kính, vị trí cực thoáng mát, 50m ra oto. Giá 6.9 tỷ	55 m2	4m	6,9 tỷ	_	6			Sổ hồng/ Sổ đỏ				Cầu Giấy	Hà Nội
chủ bán căn liền kề Gamuda DT:119M2 Full nội thất cao cấp giá 16,5 tỷ	119 m2	6m	16,5 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
SIÊU PHẨM CHO CÁC NHÀ ĐẦU TƯ 40M ĐẾN 80M. UY NỖ ĐÔNG ANH	40 m2	---	1,7 tỷ	_	---			---				Đông Anh	Hà Nội
Vân Canh, Hoài Đức dân xây 30mx 4 tầng 3 ngủ, ngõ thông morning đỗ cửa chỉ nhỉnh 3 tỷ	31 m2	---	3,1 tỷ	_	3			---				Hoài Đức	Hà Nội
Phố Cổ Linh, AEON Long Biên, nhà mới full nội thất, ô tô đỗ cửa, 5 tầng mới, hơn 4 tỷ.	35 m2	4,2m	4 tỷ	_	4			Sổ hồng/ Sổ đỏ				Long Biên	Hà Nội
Mặt phố Từ Hoa - Hồ Tây - 220m2 x 6 Tầng - MT 9m - Kinh doanh - 200 tỷ	220 m2	9m	200 tỷ	_	8			Sổ hồng/ Sổ đỏ				Tây Hồ	Hà Nội
BÁN CHUNG CƯ VÕ CHI CÔNG TÂY HỒ TẦNG 16 DT 106M 3PN NHỈNH 4 TỶ	106 m2	---	4,2 tỷ	_	3			Sổ hồng/ Sổ đỏ				Tây Hồ	Hà Nội
Bán đất gần Yên Nghĩa,Hà Đông 35m2,giá chỉ 1.16  tỷ,oto đỗ cửa.	35 m2	---	1,16 tỷ	_	---			---				Hà Đông	Hà Nội
Bán nhà Đền Lừ 1, ô tô tránh, 6 tầng , thang máy	70 m2	5m	16,5 tỷ	_	6			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
BÁN NHÀ TRƯƠNG ĐỊNH-KINH DOANH Ô TÔ ĐỖ CỬA	35 m2	3,5m	7,1 tỷ	_	4			---				Hoàng Mai	Hà Nội
SIÊU PHẨM NHÀ ĐẸP- Ở NGAY ĐÓN TẾT- 3 BƯỚC RA PHỐ- BÁN NHÀ TRƯƠNG ĐỊNH 40M 5 TẦNG NHỈNH 3 T	40 m2	---	3,8 tỷ	_	3			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
Bán nhà mặt phố Nam Đồng (Ngay Ngã 4 Xã Đàn ) diện tích 73m2 giá 23.5 tỉ.Kinh Doanh Đỉnh	72 m2	---	23,5 tỷ	_	5			---				Đống Đa	Hà Nội
Thái Hà- 2 mặt ngõ- oto đỗ cửa-kinh doanh DT 51m giá 9,5ty	51 m2	3,8m	9,5 tỷ	_	6			Sổ hồng/ Sổ đỏ				Đống Đa	Hà Nội
Bán nhà Nguyễn Đức Cảnh lô góc dt 45m X 6 tầng thang máy X mt 5.4m - Ngõ thông kinh doanh	4.543 m2	4m	7,5 tỷ	_	3			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
BÁN NHÀ PHÂN LÔ KHUẤT DUY TIẾN Ô TÔ TRÁNH, 55M, 5T, 11.5 TỶ	55 m2	5m	11,5 tỷ	_	5			Sổ hồng/ Sổ đỏ				Thanh Xuân	Hà Nội
CHÍNH CHỦ BÁN NHÀ 5,5 TẦNG MẶT TIỀN ĐƯỜNG CHIẾN THẮNG, P.VĂN QUÁN, Q.HÀ ĐÔNG, HÀ NỘI	64 m2	---	23,5 tỷ	_	---			---				Hà Đông	Hà Nội
Bán cắt lỗ căn 3PN dự án Hateco Laroma Chùa Láng, lô góc, full nội thất, 140m2 - tủ 13tỷ	140 m2	0m	138,6 tỷ	_	3			Sổ hồng/ Sổ đỏ				Đống Đa	Hà Nội
Bán Nhà Dòng Tiền Ngõ Hào Nam 48m2  Xây 7 Tầng 11 Căn Hộ Full Đồ Mới	48 m2	5m	9,8 tỷ	_	12			Sổ hồng/ Sổ đỏ				Đống Đa	Hà Nội
Cực phẩm bán biệt thự đơn lập Gamuda DT:250M2, 4 tầng, 1 tầng hầm MT:10m, giá 31 tỷ	250 m2	10m	31 tỷ	_	5			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
Chính chủ bán căn chung cư 3N chung cư ct12 KĐT Văn Phú, nhà full nội thất chỉ việc vào ở	158 m2	---	4,4 tỷ	_	3			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
Bán đất Cổ Linh, đường 25m, vỉa hè, 86m2, mặt tiền 5m, chỉ 10 tỷ.	86 m2	5m	10 tỷ	_	---			Sổ hồng/ Sổ đỏ				Long Biên	Hà Nội
BÁN NHÀ PHÂN LÔ, TRẦN QUỐC HOÀN, Ô TÔ TRÁNH, KINH DOANH, 65M2, 4 TẦNG, MT 5.4M.	65 m2	---	13,2 tỷ	_	4			Sổ hồng/ Sổ đỏ				Cầu Giấy	Hà Nội
Bán nhà Đặng Thùy Trâm/Hoàng Quốc Việt/ Phạm Tuấn Tài Cầu Giấy  59m2/ nhỉnh 9 tỷ/ nhà mới	59 m2	---	9 tỷ	_	6			Sổ hồng/ Sổ đỏ				Cầu Giấy	Hà Nội
BÁN GẤP!Nhỉnh 3 tỷ có nhà Khâm Thiên mới KOONG, 2 mặt thoáng, 4PN ở ngay, ô tô, 40m x 5T	40 m2	4m	3,95 tỷ	_	4			Giấy tờ hợp lệ				Đống Đa	Hà Nội
Bán nhà Cổ Linh gần AEOL lô góc thoáng sáng ô tô 38m 5 tầng mặt tiền 4m giá 3 tỷ 25	38 m2	4m	3,25 tỷ	_	3			Sổ hồng/ Sổ đỏ				Long Biên	Hà Nội
BÁN MẢNH ĐẤT YÊN DUYÊN 57M2_5,4 TỶ_ CÁCH Ô TÔ TRÁNH 2M_NGÕ THÔNG	57 m2	5,8m	5,4 tỷ	_	---			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
BÁN GẤP LÔ GÓC PHÂN LÔ KĐG MẬU LƯƠNG 52m2 , MT15m giá 9.3 tỷ	52 m2	15m	9,3 tỷ	_	---			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
Chính chủ bán đất tặng nhà mặt tiền đường Quốc Lộ 21, xã Sơn Đông, Hà Nội	107 m2	---	24 triệu / m2	_	---			Sổ hồng/ Sổ đỏ				Sơn Tây	Hà Nội
MẶT PHỐ HÀNG THAN_ĐƯỜNG 2 CHIỀU MÁY BAY ĐỖ_GIÁ CHÀO CỰC SỐC, CHỈ NHỈNH 300 Tí TẸO/1M	170 m2	4,15m	54,5 tỷ	_	8			Sổ hồng/ Sổ đỏ				Hoàn Kiếm	Hà Nội
Bán Biệt Thự mặt phố DK võng thị, 190m2, 3T, mt 14,5m, Giá 69 Tỷ	190 m2	---	69 tỷ	_	6			Sổ hồng/ Sổ đỏ				Tây Hồ	Hà Nội
Hạ giá chào thêm 200tr , nhà Trương Định , 47m2 , mặt tiền 6m , chỉ 3,8 tỷ	47 m2	6m	3,8 tỷ	_	3			Sổ hồng/ Sổ đỏ				Hai Bà Trưng	Hà Nội
Nhà ở ngay NGUYỄN KHANG - CẦU GIẤY - gần Ô TÔ - PHÂN LÔ -  nhà DÂN XÂY - Hơn 9 TỶ	60 m2	4m	9,6 tỷ	_	4			Sổ hồng/ Sổ đỏ				Cầu Giấy	Hà Nội
SIÊU HIẾM 75M2 ĐẤT THỊ TRẤN ĐÔNG ANH MT 5M ĐƯỜNG TRẢI NHỰA GIÁ 37TR/1M2	75 m2	5m	2,775 tỷ	_	---			Sổ hồng/ Sổ đỏ				Đông Anh	Hà Nội
CHCC CAO CẤP CENTER POINT TRUNG KÍNH- TẦNG TRUNG- LÔ GÓC- SỔ ĐỎ XỊN- 75M 2 NGỦ 2VS- 4.1 TỶ	75 m2	---	4,1 tỷ	_	2			Sổ hồng/ Sổ đỏ				Cầu Giấy	Hà Nội
Bán căn hộ 3PN tại CC Viwaseen 48 Tố Hữu lô góc	140 m2	4m	5,2 tỷ	_	3			Sổ hồng/ Sổ đỏ				Nam Từ Liêm	Hà Nội
BÁN NHÀ #BẠCH_MAI  - THOÁNG SÁNG -  GẦN PHỐ - 4 NGỦ - 43m2 - CHỈ NHỈNH 4 TỶ.	43 m2	3,4m	4,75 tỷ	_	5			Sổ hồng/ Sổ đỏ				Hai Bà Trưng	Hà Nội
BÁN NHÀ PHỐ NGUYỄN KHÁNH TOÀN, Ô TÔ ĐỖ CỬA, 53M2, 4 TẦNG, MT 3.6M.	53 m2	---	8,47 tỷ	_	4			Sổ hồng/ Sổ đỏ				Cầu Giấy	Hà Nội
HOA HẬU MẶT PHỐ TÔ HIỆU CẦN TÌM ĐẠI GIA_8 TẦNG THANG MÁY_VỈA HÈ 2 BÊN_KINH DOANH BẤT CHẤP.	90 m2	5,60m	51,5 tỷ	_	8			Sổ hồng/ Sổ đỏ				Cầu Giấy	Hà Nội
4.83 Tỷ-6 Tầng Thang Máy Phố Đội Cấn.Ngọc Hà.Ba Đình.DT 36M Gần Ô Tô	36 m2	5m	4,83 tỷ	Tây	4			Sổ hồng/ Sổ đỏ				Ba Đình	Hà Nội
Bán nhà 7 tầng thang máy 230 Võ Chí Công, Xuân La, Tây Hồ 60 m2 mới cực đẹp 12.2 tỷ	60 m2	4,5m	12,2 tỷ	_	9			Sổ hồng/ Sổ đỏ				Tây Hồ	Hà Nội
BÁN ĐẤT MẶT PHỐ KHUẤT DUY TIẾN QUẬN THANH XUÂN 160M MẶT TIỀN 7.3M HAI MẶT THOÁNG VĨNH VIỄN	160 m2	7,3m	53 tỷ	_	1			Sổ hồng/ Sổ đỏ				Thanh Xuân	Hà Nội
Bán nhà phân lô VĂN CAO, LIỄU GIAI, 6 tầng thông sàn, thang máy, 57m2 giá 12.5 tỷ	57 m2	4,5m	12,5 tỷ	_	4			Sổ hồng/ Sổ đỏ				Ba Đình	Hà Nội
Siêu phẩm bán căn biệt thự đơn lập DT:355M2, 3,5 tầng, nội thất cao cấp view cv, giá 50 tỷ	335 m2	15m	50 tỷ	_	5			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
BÁN NHÀ BÁT KHỐI, 68M2 4T 7.2 TỶ, GARA 7 CHỖ , BIỆT THỰ, 20M RA PHỐ	68 m2	---	7,2 tỷ	_	3			Sổ hồng/ Sổ đỏ				Long Biên	Hà Nội
BÁN GẤP LÔ ĐẤT VÕNG THỊ- TÂY HỒ, DT 120M, MT 7M, CÁCH HỒ TÂY HƠN 100M, GIÁ 11,6 TỶ	120 m2	---	11,6 tỷ	_	2			---				Tây Hồ	Hà Nội
Nhà Tây Sơn  , Rất nhiều người mặc cả 40m- 4.3 tỷ , Taxi cách 30 m	40 m2	4,m	4,3 tỷ	_	4			Sổ hồng/ Sổ đỏ				Đống Đa	Hà Nội
BÁN NHÀ TÔN ĐỨC THẮNG ĐỐNG ĐA, 20 M ÔTÔ TRÁNH 5T- 4PN CHỈ HƠN 3 TỶ	30 m2	3,5m	3,6 tỷ	_	4			---				Đống Đa	Hà Nội
CAM KẾT bán 84m2 Cổ Dương giá chỉ 2xtr/m2, nhỉnh 2 tỷ, rẻ nhất thị trường	84 m2	---	2,478 tỷ	_	---			Sổ hồng/ Sổ đỏ				Đông Anh	Hà Nội
Bán nhà Mặt Phố TRẦN PHÚ 40m2 5 Tầng HƠN 10 tỷ ôtô tránh KinhDoanh LHCC	200 m2	---	10,5 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
TRUNG TÂM BẬC NHẤT ĐỐNG ĐA - VÀI BƯỚC RA NGÃ 5 Ô CHỢ DỪA- LÔ GÓC -SIÊU THOÁNG	48 m2	---	7 tỷ	_	4			Sổ hồng/ Sổ đỏ				Đống Đa	Hà Nội
Cần Bán nhà 8 tầng, Thang máy căn góc Mặt phố Khuất Duy Tiến Thanh Xuân	70 m2	7m	42,9 tỷ	_	8			---				Thanh Xuân	Hà Nội
NHÀ ĐẸP DÂN XÂY - PHÚ DIỀN QUẬN BẮC TỪ LIÊM - THOÁNG SÁNG - NHIỀU TIỆN ÍCH - SAU 1 NHÀ PHỐ	48 m2	8m	3,4 tỷ	_	3			Sổ hồng/ Sổ đỏ				Bắc Từ Liêm	Hà Nội
Giảm GIÁ Bán NHANH trước Tết Nhà đẹp Dân xây Bồ Đề, full nội thất, 43m2 x 4T, nhỉnh 4 tỷ	43 m2	4m	4,45 tỷ	_	4			Sổ hồng/ Sổ đỏ				Long Biên	Hà Nội
Bán Nhà Mặt Phố QUAN NHÂN 75m2 3 Tầng Mặt Tiền 6m NHỈNH 13 Tỷ Ô Tô Tránh Vỉa Hè Kinh Doanh	250 m2	---	13,8 tỷ	_	3			Sổ hồng/ Sổ đỏ				Thanh Xuân	Hà Nội
Phân Lô Ngoại Giao Đoàn, Nhà Sân Vườn, 130m2, 4 Tầng, Vỉa hè, Cạnh Công Viên, Kinh Doanh	130 m2	5m	22,8 tỷ	_	6			Sổ hồng/ Sổ đỏ				Tây Hồ	Hà Nội
BÁN GẤP NHÀ MẶT PHỐ TRỊNH VĂN BÔ, 2 MẶT THOÁNG,VỈA HÈ, THANG MÁY, Ô TÔ: 100M2, 25 TỶ.	100 m2	5m	25 tỷ	_	6			---				Nam Từ Liêm	Hà Nội
Hàng nóng - 82m đất trục chính 12m vỉa hè tại TĐC Ngọc Thụy -công viên Ngọc Thụy giá tốt.	82 m2	4,5m	12,5 tỷ	_	1			Sổ hồng/ Sổ đỏ				Long Biên	Hà Nội
Bán nhà  Vĩnh Hưng ngõ to như phố nông thông tứ tung  28m2*4T  giá  2.85 tỷ Hoàng Mai	28 m2	---	2,85 tỷ	_	3			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
LÔ GÓC 2 MẶT PHỐ_VỊ TRÍ VÀNG TRONG LÀNG PHỐ CỔ_HIỆU SUẤT KD, CHO THUÊ ĐỈNH CAO_GIÁ TRỊ TRƯ	50 m2	11m	56 tỷ	_	5			Sổ hồng/ Sổ đỏ				Hoàn Kiếm	Hà Nội
HIẾM -HỘ KHẨU ĐỐNG ĐA- NHÀ NHỎ ĐẦY ĐỦ CÔNG NĂNG ĐÓN TẾT - GẦN PHỐ - 2 THOÁNG - SỔ ĐỎ RIÊNG	14 m2	---	1,55 tỷ	_	2			Sổ hồng/ Sổ đỏ				Đống Đa	Hà Nội
BÁN SHOPHOUSE TRỤC CHÍNH, LOUIS1 HOÀNG MAI	100 m2	---	16,4 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
BÁN GẤP NHÀ GIÁP NHẤT NHÂN CHÍNH THANH XUÂN 74M 26TỶ 7T MT 3.5M ÔTÔ CHÁNH THANG MÁY KINH	74 m2	---	26 tỷ	_	4			Sổ hồng/ Sổ đỏ				Thanh Xuân	Hà Nội
Chú tôi cần bán nhà 8 tầng, CG thang máy, mặt phố Khuất Duy Tiến, Nhân Chính Thanh Xuân	77 m2	7m	42,9 tỷ	_	8			---				Thanh Xuân	Hà Nội
BÁN TOÀ NHÀ CCMN YÊN XÁ THANH TRÌ 70m2 x 7T x MT15m giá 13,6 tỷ	70 m2	15m	13,6 tỷ	_	18			Sổ hồng/ Sổ đỏ				Thanh Trì	Hà Nội
PHỐ NGUYỄN ĐỨC CẢNH-LƯƠNG KHÁNH THIỆN 45M 6.TẦNG,MT 5.4M,KINH DOANH,THANG MÁY,NGÕ THÔNG	45 m2	5m	7,5 tỷ	_	6			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
BÁN NHÀ PHÂN LÔ KIM ĐỒNG QUẬN HOÀNG MAI 59m 4 tầng MT 4.2m GIÁ 16.5 TỶ	59 m2	4,3m	16,5 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
Bán nhà lô góc KĐTM Đại Kim - Hoàng Mai - hà Nội 116m2 x 4T Giá 29 tỷ	116 m2	6m	29 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
NHÀ ĐẸP - PHỐ KHƯƠNG ĐÌNH - 6 TẦNG - Ô TÔ KINH DOANH	30 m2	5,6m	5,5 tỷ	_	4			---				Thanh Xuân	Hà Nội
Bán nhà phố Bạch Mai - 30m2 x 4 tầng - Ngõ Ba Gác, Cách phố 30m - Sổ đỏ riêng - Nhà Đẹp	30 m2	4,5m	3,45 tỷ	_	3			Sổ hồng/ Sổ đỏ				Hai Bà Trưng	Hà Nội
Giảm sâu 299triệu Tập thể phố Chùa Bộc Đống Đa 90M Full Nội thất Chỉ 2,49Tỷ	90 m2	---	2,49 tỷ	_	2			Sổ hồng/ Sổ đỏ				Đống Đa	Hà Nội
BÁN LIỀN KỀ KĐT ĐẠI KIM VỈA HÈ RỘNG, Ô TÔ TRÁNH KDVP 55M GIÁ 10.8 Tỷ	55 m2	4m	10,8 tỷ	_	4			Sổ hồng/ Sổ đỏ				Hoàng Mai	Hà Nội
Bán nhà mặt đường khu  Tân Mai - K35, 92m2, 4 tầng, MT 6m giá 17.2 tỷ	90 m2	6m	17,2 tỷ	_	4			---				Hoàng Mai	Hà Nội
💥 QUANH 3TỶ/57M_LÔ GÓC_VÂN NỘI _ĐÔNG ANH_Ô TÔ VÒNG QUANH_DÂN CƯ SẦM UẤT.	58 m2	4,1m	3,1 tỷ	Nam	---			Sổ hồng/ Sổ đỏ				Đông Anh	Hà Nội
Chung cư mini Mỹ Đình – Thang máy – 7 Tầng – 13 Phòng – 70m2 – 10.x tỷ	70 m2	4m	10,5 tỷ	_	13			Sổ hồng/ Sổ đỏ				Nam Từ Liêm	Hà Nội
Toà Nhà 7 Tầng, 150m2, MT 8m, Cạnh Ngoại Giao Đoàn, Gara Oto, Công Viên, Đại Sứ Quán Hàn,	150 m2	7m	23 tỷ	_	7			Sổ hồng/ Sổ đỏ				Tây Hồ	Hà Nội
PHÂN LÔ VIP Tây Hồ, CỰC HIẾM, 333m2 Đất, Lô Góc, Vỉa hè, MT 18m, OTO tránh	333 m2	18m	73,37 tỷ	_	1			Sổ hồng/ Sổ đỏ				Tây Hồ	Hà Nội
Bán nhà MP Văn Phú,thang máy,  kinh doanh dt 60m2, 7t, mt 4.4m. Giá bán 16.5 tỷ.	60 m2	4,4m	16,5 tỷ	_	8			Sổ hồng/ Sổ đỏ				Hà Đông	Hà Nội
