Tên	Diện tích	Mặt tiền	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Nội thất	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Thật 200%! P. Xuân La, Dòng tiền Thang Máy Ô tô 6 Tầng, 75m2,Chỉ 18 Tỷ	73 m²	5 m	18 tỷ		7 phòng	5 phòng	Nội thất đầy đủ	Đã có sổ	21.067415	105.80934	Ngõ 603 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
BÁN ĐẤT ĐẠI TỪ 40m2 mt 4m 3.4 tỷ oto đỗ cổng ngõ rộng 3m cách phố 18m	40 m²	4 m	3,4 tỷ					Đã có sổ	20.973969	105.82169	Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
88 m2 tai thuy huong	88 m²	4880 m	1,5 tỷ	Đông Bắc				Đã có sổ	20.907265	105.71458	Máng 7, Xã Thụy Hương, Huyện Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
Bán nhà phố Trần Duy Hưng Cầu Giấy 60m2, 5 tầng ngõ thông chỉ với 7tỷ	60 m²	4.2 m	7,8 tỷ		5 phòng	5 phòng		Đã có sổ	21.010153	105.798836	Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
BÁN 1.750m VIEW HỒ TAY CHẠM NƯỚC CẠNH SÂN GOLF MINH TRÍ SÓC SƠN HÀ NÔI	1750 m²	45 m	13,65 tỷ					Đã có sổ	21.27536	105.7762	Sân Golf Minh Trí, Xã Minh Phú, Huyện Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Tôi cần Bán 257m2  đất tại thôn Phượng Đồng, Phụng Châu, Chương Mỹ	257 m²		4,626 tỷ						20.948948	105.70284	phượng đồng, Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
CHỈ 3,15 TỶ CÓ NHÀ ĐỨC GIANG  - XÂY MỚI – Ô TÔ ĐỖ CỔNG - THOÁNG MÁT	34 m²		3,15 tỷ		3 phòng				21.067816	105.89025	Phố Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
Bán nhà Chợ Khâm Thiên25m vuông A4 3PN ngõ sáng thông hồ Ba Mẫu 2.6tỷ	25 m²		2,6 tỷ		3 phòng	3 phòng	Nội thất cao cấp	Đã có sổ	21.015108	105.83857	Phố Chợ Khâm Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
🔥🔥BÁN NHÀ PHỐ NGỌC THỤY - LONG BIÊN, LÔ GÓC THOÁNG HIẾM CÓ KHÓ TÌM,	50 m²		4,7 tỷ		3 phòng	3 phòng			21.046007	105.865326	Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
Bán nhà Thanh Xuân 50m2, Oto vào nhà, giá 6,5 tỷ	50 m²	4 m	6,5 tỷ	Đông	3 phòng		Nhà trống	Đã có sổ	20.996315	105.8305	Nguyễn Viết Xuân, Phường Khương Mai, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
ẢNH THẬT_NHÀ MỚI 5TẦNG TRẦN CUNG_40M2_NGÕ BA GÁC TRÁNH_GIÁ CHỈ 4,45 TỶ	40 m²	4 m	4,45 tỷ		6 phòng	4 phòng	Nội thất đầy đủ	Đã có sổ	21.055117	105.78603	Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Siêu phẩm! Nhà Tôn Đức Thắng, 2thoáng, ngõ nông, nội thất sịn, 39m2*5T	39 m²	4 m	4,89 tỷ		3 phòng	4 phòng	Nội thất cao cấp	Đã có sổ	21.020054	105.82462	TÔN Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
CHÍNH CHỦ BÁN NHÀ HỒNG MAI - NHÀ ĐẸP Ở LUÔN - DT 43.5m2 - NHỈNH 4tỷ	43 m²	4.5 m	4 tỷ		3 phòng	4 phòng		Đã có sổ	20.998787	105.85499	Phố Hồng Mai, Phường Quỳnh Lôi, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
CHỦ CẦN BÁN GẤP NHÀ RIÊNG TẠI PHÚ ĐÔ NAM TỪ LIÊM	31 m²	7.6 m	5,2 tỷ		3 phòng	4 phòng		Đã có sổ	21.010788	105.764435	phú đô, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Mình chính chủ	36 m²	3.5 m	3,9 tỷ	Tây Bắc	3 phòng	3 phòng			20.983755	105.89119	Ngõ 95 Phố Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Cần tiền bán gấp mảnh đất tại Biên giang 40m ô tô qua giá nhỉnh 1 tỷ	40 m²	4.1 m	1,05 tỷ					Đã có sổ	20.934057	105.7164	Phượng Bãi, Phường Biên Giang, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà ở kinh doanh Láng Hạ 45m oto đỗ cửa ngõ thông sầm uất 5 tầng đẹp	45 m²		7,5 tỷ		4 phòng	4 phòng	Nội thất đầy đủ	Đã có sổ	21.013857	105.813065	Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Rao bán căn hộ ở tòa C2 Vinhomes D’.Capitale tổng diện tích: 38m2,	38 m²		1,95 tỷ		1 phòng	1 phòng	Nội thất đầy đủ	Đã có sổ	21.010153	105.798836	Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà Phố Bạch Mai, khu Víp,A Ninh tuyệt đối,ô tô đỗ cửa32m4T,MT4;3,2tỷ.	30 m²	4 m	3,2 tỷ		3 phòng	3 phòng	Nội thất đầy đủ	Đã có sổ	21.000607	105.85373	Phố Bùi Ngọc Dương, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
EM CẦN BÁN Căn STUDIO TIỆN ÍCH 5 SAO GIÁ RẺ CHỈ 930TR TẠI VINHOMES OCP	31 m²		930 triệu		1 phòng	1 phòng	Bàn giao thô	Đã có sổ	21.02097	105.93817	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Thật 200%! P. Xuân La, Dòng tiền Thang Máy Ô tô 6 Tầng, 75m2,Chỉ 18 Tỷ	73 m²	5 m	18 tỷ		7 phòng	5 phòng	Nội thất đầy đủ	Đã có sổ	21.067415	105.80934	Ngõ 603 Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán nhà phố Trần Duy Hưng Cầu Giấy 60m2, 5 tầng ngõ thông chỉ với 7tỷ	60 m²	4.2 m	7,8 tỷ		5 phòng	5 phòng		Đã có sổ	21.010153	105.798836	Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
88 m2 tai thuy huong	88 m²	4880 m	1,5 tỷ	Đông Bắc				Đã có sổ	20.907265	105.71458	Máng 7, Xã Thụy Hương, Huyện Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
BÁN ĐẤT ĐẠI TỪ 40m2 mt 4m 3.4 tỷ oto đỗ cổng ngõ rộng 3m cách phố 18m	40 m²	4 m	3,4 tỷ					Đã có sổ	20.973969	105.82169	Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
BÁN 1.750m VIEW HỒ TAY CHẠM NƯỚC CẠNH SÂN GOLF MINH TRÍ SÓC SƠN HÀ NÔI	1750 m²	45 m	13,65 tỷ					Đã có sổ	21.27536	105.7762	Sân Golf Minh Trí, Xã Minh Phú, Huyện Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Tôi cần Bán 257m2  đất tại thôn Phượng Đồng, Phụng Châu, Chương Mỹ	257 m²		4,626 tỷ						20.948948	105.70284	phượng đồng, Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội	Chương Mỹ	Hà Nội
CHỈ 3,15 TỶ CÓ NHÀ ĐỨC GIANG  - XÂY MỚI – Ô TÔ ĐỖ CỔNG - THOÁNG MÁT	34 m²		3,15 tỷ		3 phòng				21.067816	105.89025	Phố Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
Bán nhà Chợ Khâm Thiên25m vuông A4 3PN ngõ sáng thông hồ Ba Mẫu 2.6tỷ	25 m²		2,6 tỷ		3 phòng	3 phòng	Nội thất cao cấp	Đã có sổ	21.015108	105.83857	Phố Chợ Khâm Thiên, Phường Trung Phụng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán nhà 45m2 5 tầng - 4PN Việt Hưng giá rẻ chỉ 5 tỷ tươi	45 m²		5,25 tỷ	Đông Nam	4 phòng	4 phòng	Nội thất đầy đủ	Đã có sổ	21.054153	105.90296	Phố Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
ĐỨC DIỄN  - DÒNG TIỀN KHỦNG, 22  PHÒNG KK ,FULL NỘI THẤT, DT 120TR	76 m²		12,9 tỷ	Nam	nhiều hơn 10 phòng	Nhiều hơn 6 phòng	Nội thất cao cấp	Đã có sổ	21.050165	105.75243	Đường Đức Diễn, Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Bán bán căn 2PN 2WC ngay Mỹ Đình 3 tỷ có hỗ trợ vay ngân hàng	67 m²		3 tỷ		2 phòng	2 phòng	Nhà trống	Đang chờ sổ	21.027958	105.7718	trần hữu dực, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
TT CẦU GIẤY_70m2x5 tầng- GARA OTO- VỊ TRÍ ĐẸP THOÁNG SÁNG- NHỈNH 10 TỶ	70 m²		10 tỷ		5 phòng		Nội thất cao cấp	Đã có sổ	21.03677	105.80115	Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Chưa đến 4 tỷ nhà 4 tầng mới 4 phòng ngủ đủ nội thất,P.Bạch Mai,Hai Bà	32 m²		3,75 tỷ		4 phòng	4 phòng	Nội thất đầy đủ	Đã có sổ	21.003204	105.85089	Bạch Mai, Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Bán nhà ngõ phố Minh Khai ô tô đỗ cửa, 2 thoáng, gần phố 72m 4T 7.28tỷ	72 m²	4 m	7,28 tỷ		5 phòng	5 phòng	Nội thất cao cấp	Đã có sổ	20.998924	105.87	Phố Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
5 TẦNG MỚI TINH_33M2_MẶT TIỀN 4M_LÔ GÓC 2 THOÁNG_NGÕ 360 XÃ ĐÀN_4.2 TỶ	33 m²	4 m	4,2 tỷ		3 phòng	4 phòng	Nội thất cao cấp	Đã có sổ	21.015865	105.83243	Phố Xã Đàn, Phường Nam Đồng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
bán nhà mặt đường giải phóng quận thanh xuân hà nội	30 m²	4 m	6 tỷ	Nam	3 phòng	3 phòng	Nội thất đầy đủ	Đã có sổ	20.994087	105.84073	Đường Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
NHÀ HÀO NAM, ĐỐNG ĐA. 50M RA PHỐ. NGÕ THÔNG. 2 THOÁNG. 65M2. 8.5 TỶ	65 m²	4 m	8,5 tỷ		3 phòng	2 phòng	Nội thất đầy đủ	Đã có sổ	21.02907	105.827515	Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
BÁN BIỆT THỰ PHỐ YERXANH, QUẬN HAI BÀ; 160 M2, 4 TẦNG, GIÁ 26.5 TỶ.	160 m²	8 m	26,5 tỷ		8 phòng	4 phòng	Nội thất cao cấp	Đã có sổ	21.016191	105.85765	YERSIN, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Bán nhanh căn hộ 3PN 104m2 giá *** dự án BRG 25 Lê Văn Lương	106.91 m²		7,2 tỷ		3 phòng	2 phòng	Nhà trống	Đang chờ sổ	21.010153	105.798836	25, Lê Văn Lương, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán nhà số 50 ngõ 651 Minh Khai, quận Hai Bà Trưng, Hà Nội	60.5 m²		6,5 tỷ		5 phòng	6 phòng	Nội thất đầy đủ	Đã có sổ	21.004185	105.86934	50 ngõ 651, Phố Minh Khai, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Bán toà CHDV Nguyễn Trãi, DT 69m2, 8 tầng, 2 mặt thoáng, bán 12.4 tỷ	68 m²		12,4 tỷ		nhiều hơn 10 phòng		Nội thất cao cấp	Đã có sổ	20.997889	105.81338	Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Mình cần bán nhà cấp 4	44 m²		980 triệu		2 phòng	2 phòng	Nội thất đầy đủ	Giấy tờ khác	21.018677	105.88481	Ngõ 70 Phố Thạch Cầu Long Biên Hà Nội, Phường Long Biên, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
LÔ GÓC 227m², ĐƯỜNG 2 OTO TRÁNH- VIEW HỒ- TIÊN DƯƠNG ĐÔNG ANH	227 m²	15 m	14,982 tỷ	Đông				Đã có sổ	21.153822	105.8349	Quốc Lộ 3, Xã Tiên Dương, Huyện Đông Anh, Hà Nội	Đông Anh	Hà Nội
TÔN ĐỨC THẮNG PHỐ,#ĐỐNG_ĐA_QUẬN  🏘💯💥TRUNG TÂM ĐỐNG ĐA - NHÀ CHỦ TỰ XÂY	35 m²		5,2 tỷ		4 phòng	5 phòng	Nội thất cao cấp	Đã có sổ	21.018995	105.83004	Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà Bưu Điện HàĐông 32m 3 tầng,3 ngủ, đẹp lô góc ô tô đỗ gần chỉ 3.2tỷ	32 m²	3.5 m	3,2 tỷ		3 phòng	2 phòng		Đã có sổ	20.978687	105.7718	vạn phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà Pháp cổ từ thời xưa. Các Cụ để lại.Nhà mặt chính phố Lê Duẩn.	230 m²	8 m	138 tỷ	Tây	4 phòng			Đã có sổ	21.028185	105.84154	Đường Lê Duẩn, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội	Hoàn Kiếm	Hà Nội
Bán Nhà Trong đê Yên Nghĩa giá chỉ 1,95 tỉ đồng	30 m²		1,95 tỷ		3 phòng	3 phòng	Nội thất đầy đủ	Đã có sổ	20.954058	105.74098	Đông La, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
BÁN NHÀ PHÚ ĐÔ 32M2 x 5 TẦNG, 3 NGỦ 3TỶ75 (CÒN THƯƠNG LƯỢNG)	32 m²		3,75 tỷ		3 phòng	4 phòng	Nội thất đầy đủ	Đã có sổ	21.012556	105.770676	Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Thật 100% , Trần duy Hưng , Yên Hoà, Cầu Giấy 40 m2 giá 4.5 tỷ	40 m²	4 m	4,5 tỷ		4 phòng	4 phòng		Đã có sổ	21.021805	105.79087	Trần Duy Hưng, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
CÓ 1-0-2 CĂN  2N2VS CHỈ CÓ 1.800 TR ( FULL  NỘI THẤT ) TẠI VHOP	68 m²		1,8 tỷ		2 phòng	2 phòng	Nội thất đầy đủ	Đã có sổ	21.02097	105.93817	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
BIỆT THỰ LIỀN KỀ TRẦN BÌNH- 105m2x4t- THANG MÁY- AN SINH ĐỈNH- 23.5 tỷ	105 m²		23,5 tỷ		4 phòng		Nhà trống	Đã có sổ	21.039566	105.77407	Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán nhà mới phố Phúc Hoa ngõ ô tô, thiết kế đẹp, khu VIP, gần Ciputra	36 m²		5,5 tỷ		3 phòng				21.08709	105.81146	Phố Phúc Hoa, Phường Phú Thượng, Quận Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
BÁN NHÀ MỖ LAO HÀ ĐÔNG_NHÀ ĐẸP _NHÀ THOÁNG SÁNG_50M_GIÁ :7,5 TỶ	50 m²	4.5 m	7,2 tỷ		4 phòng			Đã có sổ	20.982548	105.782486	mỗ  lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
BÁN NHÀ BA ĐÌNH 66m NHÀ ĐẸP BA BƯỚC RA PHỐ NỘI THẤT XỊN XÒ Ở CỰC THÍCH	66 m²	6 m	10,5 tỷ		4 phòng				21.034937	105.82914	Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội	Ba Đình	Hà Nội
Định Công Thượng, Định Công 34m, 5T, gần ô to, ngõ 3 gác, gần chợ, kd.	34 m²		3,85 tỷ		3 phòng		Nội thất đầy đủ	Đã có sổ	20.983751	105.82318	Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Bán nhà Trích Sài-Tây Hồ 48M2-GIÁ 6.4 Tỷ-6T-Thang Máy-Lô Góc-2 Thoáng	48 m²		6,4 tỷ		3 phòng	5 phòng		Đã có sổ	21.056576	105.80989	Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Mặt Phố, Yên Phúc, Kinh doanh, ô tô đỗ, an sinh đỉnh 54m2, chỉ 7,45 tỷ	54 m²		7,45 tỷ		4 phòng			Đã có sổ	20.965433	105.789406	Yên Phúc, Phường Phúc La, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
BÁN NHÀ PHỐ YÊN HOA - OTO - LÔ GÓC - KINH DOANH - DT45M - NHỈNH 6TỶ	45 m²	5 m	6 tỷ		4 phòng	5 phòng	Nội thất đầy đủ	Đã có sổ	21.054697	105.83549	Phố Yên Hoa, Phường Yên Phụ, Quận Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán chung cư VP5 Linh Đàm 70m2, 2 ngủ, 2 vs chỉ 1.X tỷ	70 m²		1,95 tỷ		2 phòng	2 phòng			20.96402	105.83205	Nguyễn Duy Trinh, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Bán Căn 3PN2WC - Thanh toán 3.828 tỷ nhận nhà ngay tại HC Golden City	82 m²		3,828 tỷ		3 phòng	2 phòng	Nội thất cao cấp	Đang chờ sổ	21.03629	105.87395	Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
BÁN NHÀ HỒ BA MẪU, ĐỐNG ĐA, LÔ GÓC, GẦN PHỐ, 75M2 4T MT5M, GIÁ 7.2 TỶ	75 m²	5 m	7,2 tỷ		4 phòng	5 phòng	Nội thất đầy đủ	Đã có sổ	21.01235	105.837105	Hồ Ba Mẫu, Phường Phương Liên, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà Đẹp Văn Cao, Sổ 52m2 4T Chỉ 6,25tỷ_ 30m Oto Tránh Đỗ, Ngõ Rộng 3m	52 m²	4 m	6,25 tỷ		3 phòng	3 phòng	Nội thất cao cấp	Đã có sổ	21.039526	105.815834	Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội	Ba Đình	Hà Nội
HOÀNG HOA THÁM-55M2 NHỈNH 5TỶ2-GIÁ RẺ-NHÀ ĐẸP Ở NGAY	55 m²		5,2 tỷ		4 phòng				21.04584	105.81131	Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội	Ba Đình	Hà Nội
Bán nhà phố Lương Yên. TT Hai Bà Trung. 32m2 x5T. Chỉ 2.85 tỷ sổ đỏ.	32 m²	3 m	2,85 tỷ		3 phòng	3 phòng	Nội thất đầy đủ	Đã có sổ	21.016191	105.85765	Lương yên, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
NHỈNH 2 TỶ - BÁN NHÀ PHÚC LỢI - DT 35M 2 TẦNG - MẶT TIỀN 6M5  ÔTÔ GẦN	35 m²	6.5 m	2,28 tỷ		2 phòng	2 phòng		Đã có sổ	21.04387	105.92843	Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
Ngõ oto Kim Ngữu, 5.6 tỷ nhà sát ngõ 5 tầng gần 50m2 6 ngủ	46 m²		5 tỷ		6 phòng			Đã có sổ	21.000416	105.86199	Kim Ngưu, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà giáp Trịnh Văn Bô-ô tô đỗ cửa-32m2-2.56 tỷ	32 m²		2,56 tỷ		3 phòng			Đã có sổ	21.03155	105.75683	Phố Trịnh Văn Bô, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Đê Trần Khát Chân 35m2- Nhà mới 5 tầng- mặt tiền 3.6m- 3.25 tỷ .	35 m²	4 m	3,25 tỷ		3 phòng	4 phòng	Nội thất cao cấp	Đã có sổ	21.006922	105.865715	Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
NHỈNH 4 TỶ _ KIM MÃ BA ĐÌNH _ 5T X 34M _ Ô TÔ CÁCH 40M_ TRUNG TÂM	34 m²	4.5 m	4,29 tỷ		3 phòng	4 phòng	Nội thất đầy đủ	Đã có sổ	21.031162	105.81941	Phố Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà đẹp Cầu Giấy,2 ngoặt, ngõ nông, rộng.	43 m²		5,3 tỷ		4 phòng		Nội thất đầy đủ	Đã có sổ	21.034706	105.79234	cầu giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Cực Đẹp ! Nhà Khâm Thiên- 10m ra Mặt Phố , 34m*4T Ở ngay .	34 m²	3.4 m	5,2 tỷ		4 phòng	3 phòng	Nhà trống	Đã có sổ	21.019148	105.835815	Phố Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Chính chủ bán 90m dự án LK Đại Kim Định Công mở rộng	90 m²	5 m	4,8 tỷ					Đang chờ sổ	20.975584	105.814926	Đường vành đai 2,5, Phường Đại Kim, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
